Demonstrator:,LeCheylas
Site Owner:,EDF
Sensor type:,AcousticEmission
Measurement units:,multiple
Sensor location:,MIV S6
Orientation:,NA
Sensor installed by:,NORCE
Sensor installed on:,01.01.2026
Sensor scaling factor:,NA
Pre-processing performed:,Calculated
Sensor precision:,16 bit
Sensor sampling rate:,=1/1000000
Sensor range:,15kHz-70kHz

Arrival time,Amplitude,Counts,Duration,Energy,Rise counts,Rise Time,RMS(mV),ASL(dB),External Parametrics1,External Parametrics2,External Parametrics3,External Parametrics4,External Parametrics5,Frequency Centroid(kHz),Peak Frequency(kHz),Partial Power1(%),Partial Power2(%),Partial Power3(%),Partial Power4(%),Partial Power5(%),AverageFreq,EchoFreq,InitFreq
23:10:58:56:852 457900,33.4,2167,12000.0,0.0,1507,8236.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,800.8,312.5,39.0,10.0,15.0,10.0,4.0,180.6,175.3,183.0
23:10:58:56:864 457900,33.4,2158,12000.0,0.0,171,1021.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,698.2,288.1,52.0,8.0,12.0,7.0,4.0,179.8,181.0,167.5
23:10:58:56:876 457900,33.4,2126,12000.0,0.0,224,1232.0,0.012,19.0,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,820.3,429.7,37.0,9.0,14.0,10.0,5.0,177.2,176.6,181.8
23:10:58:56:888 457900,34.0,2130,12000.0,0.0,559,3076.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,815.4,429.7,38.0,8.0,12.0,10.0,6.0,177.5,176.0,181.7
23:10:58:56:900 457900,34.0,2140,12000.0,0.0,1115,6276.0,0.012,18.8,4294967294.0,6.0,4294967267.0,4294967275.0,0.0,810.5,273.4,38.0,10.0,15.0,9.0,4.0,178.3,179.1,177.7
23:10:58:56:912 457900,33.4,2170,12000.0,0.0,1160,6335.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,761.7,273.4,42.0,13.0,9.0,11.0,5.0,180.8,178.3,183.1
23:10:58:56:924 457900,34.0,2163,12000.0,0.0,1605,9089.0,0.012,18.8,4294967292.0,7.0,4294967267.0,4294967274.0,0.0,747.1,283.2,39.0,10.0,11.0,11.0,3.0,180.3,191.7,176.6
23:10:58:56:936 457900,34.0,2141,12000.0,0.0,1569,8833.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,839.8,415.0,35.0,9.0,14.0,9.0,6.0,178.4,180.6,177.6
23:10:58:56:948 457900,33.4,2214,12000.0,0.0,510,2904.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,747.1,307.6,44.0,10.0,13.0,9.0,4.0,184.5,187.3,175.6
23:10:58:56:960 457900,33.4,2106,12000.0,0.0,621,3471.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,761.7,278.3,44.0,10.0,11.0,8.0,4.0,175.5,174.1,178.9
23:10:58:56:972 457900,33.4,2176,12000.0,0.0,1985,10952.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,825.2,302.7,32.0,11.0,17.0,8.0,8.0,181.3,182.3,181.2
23:10:58:56:984 457900,35.1,2121,12000.0,0.0,1745,9935.0,0.012,19.1,4294967293.0,7.0,4294967267.0,4294967275.0,0.0,727.5,273.4,43.0,9.0,12.0,8.0,4.0,176.8,182.1,175.6
23:10:58:56:996 457900,32.7,2106,12000.0,0.0,895,5058.0,0.012,19.0,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,805.7,429.7,37.0,8.0,15.0,9.0,6.0,175.5,174.4,176.9
23:10:58:57:008 457800,34.0,2098,12000.0,0.0,1674,9501.0,0.012,19.2,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,791.0,278.3,44.0,7.0,15.0,6.0,6.0,174.8,169.7,176.2
23:10:58:57:020 457800,32.7,2200,12000.0,0.0,765,4056.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,820.3,424.8,37.0,11.0,15.0,8.0,5.0,183.3,180.6,188.6
23:10:58:57:032 457800,34.0,2145,12000.0,0.0,1580,8567.0,0.012,19.2,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,795.9,146.5,32.0,14.0,11.0,11.0,5.0,178.8,164.6,184.4
23:10:58:57:044 457800,33.4,2217,12000.0,0.0,1456,8086.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,864.3,312.5,36.0,9.0,15.0,10.0,6.0,184.8,194.4,180.1
23:10:58:57:056 457800,32.7,2149,12000.0,0.0,218,1323.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,761.7,302.7,43.0,9.0,12.0,8.0,4.0,179.1,180.9,164.8
23:11:13:59:250 373300,34.0,2097,12000.0,0.0,1517,8743.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,776.4,273.4,44.0,9.0,12.0,9.0,5.0,174.8,178.1,173.5
23:11:13:59:262 373600,34.0,2095,12000.0,0.0,230,1262.0,0.012,19.2,4294967292.0,6.0,4294967267.0,4294967273.0,0.0,854.5,0.0,35.0,8.0,14.0,12.0,5.0,174.6,173.7,182.3
23:11:13:59:274 373600,32.7,2114,12000.0,0.0,467,2535.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,761.7,278.3,44.0,9.0,12.0,9.0,5.0,176.2,174.0,184.2
23:11:13:59:286 373600,34.0,2122,12000.0,0.0,532,3025.0,0.012,19.0,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,795.9,415.0,41.0,10.0,12.0,8.0,6.0,176.8,177.2,175.9
23:11:13:59:298 373600,34.0,2127,12000.0,0.0,249,1413.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,786.1,273.4,39.0,9.0,15.0,9.0,5.0,177.3,177.4,176.2
23:11:13:59:310 373600,34.0,2085,12000.0,0.0,2065,11844.0,0.012,18.9,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,825.2,415.0,36.0,8.0,15.0,11.0,6.0,173.8,128.2,174.3
23:11:13:59:322 373600,34.0,2111,12000.0,0.0,2056,11684.0,0.012,19.0,4294967294.0,6.0,4294967267.0,4294967274.0,0.0,835.0,273.4,41.0,8.0,14.0,11.0,5.0,175.9,174.1,176.0
23:11:13:59:334 373600,34.0,2072,12000.0,0.0,299,1709.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,781.3,278.3,42.0,8.0,13.0,10.0,5.0,172.7,172.3,175.0
23:11:13:59:346 373600,34.0,2083,12000.0,0.0,2042,11812.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967273.0,0.0,683.6,273.4,47.0,6.0,12.0,9.0,3.0,173.6,218.1,172.9
23:11:13:59:358 373600,33.4,2030,12000.0,0.0,103,653.0,0.012,19.2,4294967293.0,5.0,4294967267.0,4294967275.0,0.0,708.0,278.3,48.0,8.0,14.0,6.0,5.0,169.2,169.8,157.7
23:11:13:59:370 373600,33.4,2189,12000.0,0.0,43,276.0,0.012,18.8,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,761.7,302.7,40.0,11.0,14.0,8.0,5.0,182.4,183.0,155.8
23:11:13:59:382 373600,34.0,2043,12000.0,0.0,1243,7354.0,0.012,19.3,4294967292.0,5.0,4294967268.0,4294967274.0,0.0,727.5,278.3,48.0,8.0,14.0,8.0,5.0,170.3,172.2,169.0
23:11:13:59:394 373600,34.0,2136,12000.0,0.0,2098,11784.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967275.0,0.0,776.4,268.6,39.0,7.0,13.0,8.0,6.0,178.0,175.9,178.0
23:11:13:59:406 373600,34.0,2072,12000.0,0.0,1901,11009.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,810.5,415.0,40.0,9.0,16.0,10.0,4.0,172.7,172.6,172.7
23:11:13:59:418 373600,33.4,2092,12000.0,0.0,184,1110.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,756.8,278.3,47.0,8.0,12.0,9.0,5.0,174.3,175.2,165.8
23:11:13:59:430 373600,35.6,2108,12000.0,0.0,1854,10593.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,737.3,288.1,44.0,8.0,13.0,7.0,5.0,175.7,180.5,175.0
23:11:13:59:442 373600,34.0,2079,12000.0,0.0,1760,10170.0,0.012,19.0,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,810.5,307.6,42.0,7.0,14.0,9.0,6.0,173.3,174.3,173.1
23:11:13:59:454 373600,33.4,2119,12000.0,0.0,426,2346.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,800.8,415.0,41.0,8.0,14.0,9.0,5.0,176.6,175.4,181.6
23:11:13:59:466 373600,34.0,2116,12000.0,0.0,866,5072.0,0.012,18.9,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,771.5,429.7,37.0,10.0,13.0,11.0,3.0,176.3,180.4,170.7
23:11:13:59:478 373600,33.4,2051,12000.0,0.0,643,3585.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967273.0,0.0,825.2,424.8,37.0,10.0,15.0,10.0,6.0,170.9,167.3,179.4
23:11:13:59:490 373600,33.4,2152,12000.0,0.0,910,4880.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,791.0,278.3,39.0,11.0,12.0,11.0,5.0,179.3,174.4,186.5
23:11:13:59:502 373600,33.4,2171,12000.0,0.0,1944,10673.0,0.012,18.9,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,795.9,424.8,39.0,7.0,14.0,8.0,5.0,180.9,171.1,182.1
23:11:13:59:514 373600,33.4,2093,12000.0,0.0,1607,9222.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,771.5,273.4,43.0,8.0,13.0,6.0,6.0,174.4,174.9,174.3
23:11:13:59:526 373600,33.4,2145,12000.0,0.0,266,1492.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,791.0,302.7,35.0,12.0,13.0,12.0,4.0,178.8,178.8,178.3
23:11:13:59:538 373600,33.4,2139,12000.0,0.0,1833,10336.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,766.6,273.4,42.0,8.0,12.0,8.0,6.0,178.3,183.9,177.3
23:11:13:59:550 373600,34.5,2063,12000.0,0.0,720,4253.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,712.9,307.6,45.0,7.0,13.0,8.0,4.0,171.9,173.4,169.3
23:11:13:59:562 373600,34.0,2132,12000.0,0.0,1965,11012.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,766.6,429.7,38.0,12.0,13.0,10.0,5.0,177.7,169.0,178.4
23:11:13:59:574 373600,35.1,2048,12000.0,0.0,426,2539.0,0.012,19.2,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,693.4,273.4,50.0,6.0,13.0,7.0,5.0,170.7,171.4,167.8
23:11:13:59:586 373600,34.0,2100,12000.0,0.0,1310,7462.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967275.0,0.0,703.1,278.3,51.0,8.0,12.0,8.0,4.0,175.0,174.1,175.6
23:11:13:59:598 373600,33.4,2078,12000.0,0.0,1097,6411.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,752.0,273.4,43.0,7.0,14.0,8.0,4.0,173.2,175.5,171.1
23:11:13:59:610 373600,33.4,2110,12000.0,0.0,616,3367.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,761.7,278.3,42.0,7.0,12.0,8.0,5.0,175.8,173.1,183.0
23:11:13:59:622 373600,33.4,2096,12000.0,0.0,175,934.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,761.7,283.2,46.0,7.0,13.0,9.0,5.0,174.7,173.6,187.4
23:11:13:59:634 373600,34.5,2146,12000.0,0.0,517,2964.0,0.012,18.9,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,752.0,278.3,44.0,7.0,13.0,8.0,5.0,178.8,180.3,174.4
23:11:13:59:646 373600,34.0,2130,12000.0,0.0,1240,6832.0,0.012,18.8,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,781.3,424.8,37.0,10.0,13.0,9.0,6.0,177.5,172.2,181.5
23:11:13:59:658 373600,34.0,2073,12000.0,0.0,1221,7126.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,659.2,273.4,55.0,5.0,9.0,6.0,5.0,172.8,174.8,171.3
23:11:13:59:670 373600,34.0,2065,12000.0,0.0,564,3148.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967273.0,0.0,795.9,278.3,46.0,8.0,12.0,8.0,6.0,172.1,169.6,179.2
23:11:13:59:682 373600,33.4,2101,12000.0,0.0,278,1656.0,0.012,19.1,4294967293.0,5.0,4294967267.0,4294967273.0,0.0,727.5,278.3,45.0,9.0,13.0,8.0,3.0,175.1,176.2,167.9
23:11:13:59:694 373600,34.0,2070,12000.0,0.0,314,1773.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,766.6,273.4,42.0,9.0,15.0,8.0,5.0,172.5,171.7,177.1
23:11:13:59:706 373600,32.7,2141,12000.0,0.0,699,3921.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,786.1,273.4,42.0,10.0,12.0,7.0,6.0,178.4,178.5,178.3
23:11:13:59:718 373600,32.7,2124,12000.0,0.0,290,1778.0,0.012,18.9,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,717.8,278.3,46.0,9.0,13.0,7.0,5.0,177.0,179.4,163.1
23:11:13:59:730 373600,32.7,2077,12000.0,0.0,287,1557.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,820.3,0.0,36.0,9.0,16.0,7.0,5.0,173.1,171.4,184.3
23:11:13:59:742 373600,34.0,2062,12000.0,0.0,1588,9278.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,771.5,312.5,32.0,13.0,14.0,10.0,5.0,171.8,174.1,171.2
23:11:13:59:754 373600,32.7,2124,12000.0,0.0,91,580.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967273.0,0.0,776.4,273.4,43.0,8.0,13.0,7.0,6.0,177.0,178.0,156.9
23:11:13:59:766 373600,34.5,2078,12000.0,0.0,961,5689.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967275.0,0.0,766.6,273.4,43.0,10.0,15.0,6.0,6.0,173.2,177.0,168.9
23:11:13:59:778 373600,33.4,2128,12000.0,0.0,180,998.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,791.0,273.4,40.0,12.0,12.0,10.0,5.0,177.3,177.1,180.4
23:11:13:59:790 373600,33.4,2115,12000.0,0.0,460,2692.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,761.7,312.5,44.0,7.0,12.0,10.0,5.0,176.3,177.8,170.9
23:11:13:59:802 373600,34.0,2140,12000.0,0.0,1622,9038.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,810.5,478.5,39.0,8.0,17.0,10.0,5.0,178.3,174.9,179.5
23:11:13:59:814 373600,34.0,2132,12000.0,0.0,669,3740.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,835.0,454.1,38.0,9.0,16.0,8.0,5.0,177.7,177.1,178.9
23:11:13:59:826 373600,33.4,2109,12000.0,0.0,526,2988.0,0.012,19.1,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,800.8,278.3,39.0,12.0,13.0,11.0,4.0,175.8,175.7,176.0
23:11:13:59:838 373600,34.5,2114,12000.0,0.0,343,1900.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967273.0,0.0,761.7,278.3,42.0,9.0,12.0,9.0,5.0,176.2,175.3,180.5
23:11:13:59:850 373600,33.4,2090,12000.0,0.0,434,2478.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,830.1,424.8,41.0,7.0,12.0,11.0,5.0,174.2,173.9,175.1
23:11:13:59:862 373600,35.1,2097,12000.0,0.0,74,504.0,0.012,18.9,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,708.0,273.4,45.0,7.0,12.0,8.0,5.0,174.8,176.0,146.8
23:11:13:59:874 373600,33.4,2181,12000.0,0.0,2162,11882.0,0.012,19.2,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,776.4,263.7,41.0,8.0,14.0,7.0,7.0,181.8,161.0,182.0
23:11:13:59:886 373600,34.0,2163,12000.0,0.0,785,4203.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,766.6,283.2,44.0,8.0,14.0,9.0,4.0,180.3,176.7,186.8
23:11:13:59:898 373600,34.0,2101,12000.0,0.0,749,4263.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,805.7,278.3,41.0,7.0,15.0,8.0,6.0,175.1,174.7,175.7
23:11:13:59:910 373600,33.4,2150,12000.0,0.0,648,3658.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,844.7,278.3,36.0,8.0,17.0,8.0,7.0,179.2,180.1,177.1
23:11:13:59:922 373600,34.0,2151,12000.0,0.0,248,1411.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,781.3,429.7,42.0,6.0,16.0,6.0,5.0,179.3,179.7,175.8
23:11:13:59:934 373600,34.5,2085,12000.0,0.0,271,1615.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,752.0,273.4,41.0,8.0,15.0,7.0,5.0,173.8,174.7,167.8
23:11:13:59:946 373600,33.4,2108,12000.0,0.0,2022,11496.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,781.3,278.3,46.0,7.0,12.0,8.0,5.0,175.7,170.6,175.9
23:11:13:59:958 373600,34.0,2099,12000.0,0.0,141,829.0,0.012,19.3,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,698.2,273.4,50.0,10.0,10.0,7.0,5.0,174.9,175.3,170.1
23:11:13:59:970 373600,33.4,2090,12000.0,0.0,525,3005.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,776.4,278.3,42.0,8.0,13.0,7.0,6.0,174.2,174.0,174.7
23:11:13:59:982 373600,32.7,2224,12000.0,0.0,224,1174.0,0.011,18.7,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,805.7,429.7,41.0,8.0,14.0,7.0,7.0,185.3,184.7,190.8
23:11:13:59:994 373600,34.0,2170,12000.0,0.0,771,4304.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,869.1,429.7,35.0,7.0,16.0,9.0,7.0,180.8,181.8,179.1
23:11:14:00:006 373500,34.0,2123,12000.0,0.0,75,476.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,747.1,273.4,42.0,7.0,14.0,10.0,4.0,176.9,177.7,157.6
23:11:14:00:018 373500,34.0,2116,12000.0,0.0,752,4182.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,786.1,273.4,42.0,9.0,13.0,9.0,5.0,176.3,174.5,179.8
23:11:14:00:030 373500,34.0,2126,12000.0,0.0,576,3263.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,786.1,302.7,36.0,10.0,18.0,10.0,5.0,177.2,177.4,176.5
23:11:14:00:042 373500,34.0,2062,12000.0,0.0,315,1760.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,820.3,263.7,39.0,8.0,15.0,10.0,5.0,171.8,170.6,179.0
23:11:14:00:054 373500,34.5,2101,12000.0,0.0,1192,6851.0,0.012,19.2,4294967294.0,6.0,4294967268.0,4294967273.0,0.0,781.3,273.4,39.0,9.0,15.0,7.0,6.0,175.1,176.5,174.0
23:11:14:00:066 373500,34.0,2116,12000.0,0.0,2059,11625.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,781.3,419.9,39.0,9.0,13.0,10.0,6.0,176.3,152.0,177.1
23:11:14:00:078 373500,33.4,2126,12000.0,0.0,682,3863.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967273.0,0.0,810.5,424.8,38.0,9.0,15.0,9.0,5.0,177.2,177.5,176.5
23:11:14:00:090 373500,33.4,2100,12000.0,0.0,1964,11228.0,0.012,19.1,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,805.7,307.6,40.0,10.0,15.0,8.0,6.0,175.0,176.2,174.9
23:11:14:00:102 373500,33.4,2136,12000.0,0.0,6,51.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,717.8,288.1,43.0,10.0,10.0,9.0,5.0,178.0,178.3,117.6
23:11:14:00:114 373500,34.5,2109,12000.0,0.0,1473,8403.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,678.7,283.2,49.0,9.0,11.0,8.0,4.0,175.8,176.8,175.3
23:11:14:00:126 373500,33.4,2107,12000.0,0.0,1026,5802.0,0.012,19.3,4294967292.0,5.0,4294967267.0,4294967273.0,0.0,795.9,273.4,41.0,9.0,14.0,10.0,6.0,175.6,174.4,176.8
23:11:14:00:138 373500,33.4,2025,12000.0,0.0,432,2786.0,0.012,19.4,4294967293.0,5.0,4294967267.0,4294967275.0,0.0,712.9,278.3,48.0,7.0,11.0,8.0,4.0,168.8,172.9,155.1
23:11:14:00:150 373500,33.4,2124,12000.0,0.0,1973,11157.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,742.2,278.3,47.0,10.0,11.0,7.0,5.0,177.0,179.1,176.8
23:11:14:00:162 373500,33.4,2108,12000.0,0.0,1346,7688.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,727.5,278.3,45.0,8.0,12.0,8.0,5.0,175.7,176.7,175.1
23:11:14:00:174 373500,34.0,2097,12000.0,0.0,921,5228.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967275.0,0.0,776.4,429.7,38.0,8.0,13.0,8.0,6.0,174.8,173.7,176.2
23:11:14:00:186 373500,33.4,2090,12000.0,0.0,787,4514.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,795.9,429.7,43.0,8.0,14.0,9.0,5.0,174.2,174.1,174.3
23:11:14:00:198 373500,33.4,2132,12000.0,0.0,882,5016.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,717.8,273.4,50.0,7.0,12.0,7.0,5.0,177.7,179.0,175.8
23:11:14:00:210 373500,34.5,2102,12000.0,0.0,351,2042.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,693.4,273.4,53.0,8.0,10.0,7.0,3.0,175.2,175.8,171.9
23:11:14:00:222 373500,34.0,2126,12000.0,0.0,1923,10842.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,752.0,307.6,42.0,7.0,14.0,8.0,5.0,177.2,175.3,177.4
23:11:14:00:234 373500,34.0,2042,12000.0,0.0,1534,9050.0,0.012,19.1,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,683.6,278.3,50.0,10.0,10.0,8.0,4.0,170.2,172.2,169.5
23:11:14:00:246 373500,33.4,2099,12000.0,0.0,319,1933.0,0.012,19.0,4294967294.0,6.0,4294967267.0,4294967274.0,0.0,727.5,278.3,45.0,7.0,11.0,9.0,4.0,174.9,176.8,165.0
23:11:14:00:258 373500,34.5,2095,12000.0,0.0,2039,11665.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,752.0,278.3,45.0,8.0,12.0,8.0,5.0,174.6,167.2,174.8
23:11:14:00:270 373500,33.4,2100,12000.0,0.0,1243,7174.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,830.1,273.4,40.0,9.0,13.0,11.0,4.0,175.0,177.6,173.3
23:11:14:00:282 373500,33.4,2087,12000.0,0.0,89,580.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,727.5,278.3,43.0,9.0,11.0,8.0,4.0,173.9,175.0,153.4
23:11:14:00:294 373500,33.4,2118,12000.0,0.0,1437,8178.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,717.8,278.3,44.0,8.0,12.0,8.0,4.0,176.5,178.2,175.7
23:11:14:00:306 373500,33.4,2096,12000.0,0.0,232,1324.0,0.012,19.0,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,810.5,429.7,35.0,13.0,14.0,10.0,4.0,174.7,174.6,175.2
23:11:14:00:318 373500,33.4,2063,12000.0,0.0,1306,7625.0,0.012,19.1,4294967292.0,7.0,4294967267.0,4294967275.0,0.0,786.1,307.6,43.0,8.0,15.0,7.0,7.0,171.9,173.0,171.3
23:11:14:00:330 373500,32.7,2123,12000.0,0.0,890,5108.0,0.012,18.9,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,742.2,263.7,42.0,9.0,13.0,8.0,5.0,176.9,178.9,174.2
23:11:14:00:342 373500,34.0,2068,12000.0,0.0,136,799.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967275.0,0.0,722.7,278.3,51.0,7.0,12.0,7.0,4.0,172.3,172.5,170.2
23:11:14:00:354 373500,33.4,2113,12000.0,0.0,1630,9213.0,0.012,19.0,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,722.7,278.3,51.0,8.0,12.0,7.0,5.0,176.1,173.3,176.9
23:11:14:00:366 373500,32.7,2168,12000.0,0.0,196,1084.0,0.012,18.8,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,791.0,429.7,39.0,12.0,13.0,10.0,4.0,180.7,180.7,180.8
23:11:14:00:378 373500,34.0,2108,12000.0,0.0,772,4471.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,786.1,278.3,42.0,7.0,15.0,8.0,5.0,175.7,177.4,172.7
23:11:14:00:390 373500,33.4,2153,12000.0,0.0,461,2530.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,717.8,273.4,51.0,6.0,15.0,6.0,5.0,179.4,178.7,182.2
23:11:14:00:402 373500,33.4,2127,12000.0,0.0,747,3995.0,0.012,19.1,4294967293.0,7.0,4294967267.0,4294967275.0,0.0,781.3,0.0,36.0,10.0,15.0,9.0,5.0,177.3,172.4,187.0
23:11:14:00:414 373500,34.5,2159,12000.0,0.0,1540,8502.0,0.012,19.0,4294967293.0,6.0,4294967266.0,4294967274.0,0.0,698.2,273.4,50.0,7.0,14.0,7.0,5.0,179.9,177.0,181.1
23:11:14:00:426 373500,32.7,2172,12000.0,0.0,1461,8137.0,0.012,18.8,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,727.5,302.7,50.0,6.0,14.0,6.0,6.0,181.0,184.1,179.6
23:11:14:00:438 373500,34.5,2153,12000.0,0.0,1464,8071.0,0.012,18.8,4294967292.0,6.0,4294967266.0,4294967274.0,0.0,854.5,283.2,35.0,10.0,13.0,12.0,5.0,179.4,175.4,181.4
23:11:14:00:450 373500,33.4,2113,12000.0,0.0,1755,9945.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,747.1,278.3,43.0,8.0,14.0,8.0,5.0,176.1,174.2,176.5
23:11:14:00:462 373500,34.5,2145,12000.0,0.0,1560,8576.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,835.0,307.6,38.0,10.0,16.0,8.0,6.0,178.8,170.9,181.9
